created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 26 04:50:43 +0000 2024;1,76198E+18;Iki ta sing jenenge KURIKULUM MERDEKA;0;0;0;0;in;1,64553E+18;1,76198E+18;ceulisss;https://twitter.com/ceulisss/status/1761977068206882868
Mon Feb 26 03:50:34 +0000 2024;1,76196E+18;Setelah mabok bersama anak gonz, ternyata RP se sampah itu, kurikulum 13 versi upgrade berkedok kurikulum merdeka;0;0;0;0;in;1,14603E+18;1,76196E+18;Vantat_Kadal;https://twitter.com/Vantat_Kadal/status/1761961930481344897
Mon Feb 26 03:38:04 +0000 2024;1,76196E+18;Kakankemenag Gresik Buka Kegiatan Implementasi Kurikulum Merdeka dan Penguatan P5P2RA bagi Guru oleh KKMTS 01 di MTsN Gresik  Selengkapnya klik link berikut ini :  https://t.co/8V48Nx6XFh https://t.co/DyEsSLRjLH;0;0;0;0;in;1,53852E+18;1,76196E+18;kemenaggresik_;https://twitter.com/kemenaggresik_/status/1761958783826440463
Mon Feb 26 03:31:39 +0000 2024;1,76196E+18;📈 *DIKLAT MEDIA INOVATIF AI KURIKULUM MERDEKA* ‼️ https://t.co/66KklWdsKf;0;0;0;0;in;1,41006E+18;1,76196E+18;SETIAWA91608411;https://twitter.com/SETIAWA91608411/status/1761957170684506338
Mon Feb 26 03:14:32 +0000 2024;1,76195E+18;Beberapa hal yang perlu diperhatikan dalam menyusun tujuan pembelajaran kurikulum merdeka yaitu: 1. Sesuai dengan capaian pembelajaran dalam kurikulum dan kompetensi yang ingin dicapai 2. Sesuai dengan karakteristik materi dan fasilitas yang tersedia;0;1;0;0;in;386386018;1,76195E+18;guraruID;https://twitter.com/guraruID/status/1761952862144467257
Mon Feb 26 03:13:47 +0000 2024;1,76195E+18;Dalam kurikulum merdeka, guru dapat lebih fleksibel dalam menentukan tujuan pembelajaran yang relevan dengan kemampuan dan kondisi lingkungan peserta didik.;0;1;0;0;in;386386018;1,76195E+18;guraruID;https://twitter.com/guraruID/status/1761952671605621047
Mon Feb 26 03:13:35 +0000 2024;1,76195E+18;Tujuan pembelajaran dalam kurikulum merdeka memiliki sedikit perubahan. Semula tujuan pembelajaran dirumuskan melalui KD dan Indikator yang sudah ditetapkan, kini landasan penyusunan tujuan pembelajaran adalah Capaian Pembelajaran. https://t.co/aCBxfUnU2Z;0;1;0;1;in;386386018;1,76195E+18;guraruID;https://twitter.com/guraruID/status/1761952621274001733
Mon Feb 26 02:56:12 +0000 2024;1,76195E+18;Setelah Permendikbudristek-nya terbit, sekitar 20 persen satuan pendidikan yang belum menerapkan Kurikulum Merdeka akan memiliki waktu dua tahun untuk mempelajari dan kemudian menerapkannya.;0;0;0;0;in;43258431;1,76195E+18;prajnamu;https://twitter.com/prajnamu/status/1761948249039188131
Mon Feb 26 02:49:56 +0000 2024;1,76195E+18;Kelayakan Kurikulum Merdeka Jadi Kurikulum Nasional Dikritisi  https://t.co/zngClAssWC;0;1;0;1;in;43258431;1,76195E+18;prajnamu;https://twitter.com/prajnamu/status/1761946670475235752
Mon Feb 26 02:39:27 +0000 2024;1,76194E+18;gakuat sekolah kurikulum merdeka belajar, duit mulu yg kelyar anjing gue gaenak sm ortu gue;0;0;0;0;in;1,52167E+18;1,76194E+18;rumahroesak;https://twitter.com/rumahroesak/status/1761944031209361872
Mon Feb 26 02:12:46 +0000 2024;1,76194E+18;KISI-KISI PENYUSUNAN SOAL ASSESMEN TENGAH SEMESTER GENAP CIRI KHUSUS SD MUHAMMADIYAH KOTA SURAKARTA KURIKULUM MERDEKA https://t.co/9NWTi6ZhDx lewat @Pendidikan Agama Islam;0;0;0;1;in;4582622798;1,76194E+18;sdmuh1solo;https://twitter.com/sdmuh1solo/status/1761937318200664556
Mon Feb 26 01:28:03 +0000 2024;1,76193E+18;@SeleneMoonFairy @literarybase di sini baru sejak kurikulum merdeka berlaku kak;0;1;0;0;in;2241532544;1,76192E+18;ristiwirjoredjo;https://twitter.com/ristiwirjoredjo/status/1761926064232923303
Mon Feb 26 01:11:19 +0000 2024;1,76192E+18;Terbaru! 25 Soal PTS PJOK Kelas 4 Semester 2 Kurikulum Merdeka dengan Kunci Jawabannya https://t.co/Ro7dDcn5Zl;0;0;0;0;in;1,65812E+18;1,76192E+18;readmebetter;https://twitter.com/readmebetter/status/1761921852648345762
Sun Feb 25 20:10:30 +0000 2024;1,76185E+18;Kemaren ngobrolin ini sama pak guru dan bu guru yang merasa terbebani dengan kurikulum Merdeka.;0;0;0;0;in;1,58699E+18;1,76185E+18;krezihahaha;https://twitter.com/krezihahaha/status/1761846150053892211
Sun Feb 25 17:15:36 +0000 2024;1,7618E+18;@ardisatriawan Ya terus mau gimana 2024 ganti murid Ganti A.i biar nurut... Ini aja rombak pake kurikulum merdeka Aja saya pushing.. apa lagi mau di ubah ..;0;0;0;0;in;1,50998E+18;1,76162E+18;clawhs02;https://twitter.com/clawhs02/status/1761802136223154403
Sun Feb 25 16:30:20 +0000 2024;1,76179E+18;@FA_PGMOL wasit lu pake kurikulum merdeka apa gimana?;0;0;0;0;in;1629712795;1,76179E+18;coudimho;https://twitter.com/coudimho/status/1761790744006971736
Sun Feb 25 15:34:27 +0000 2024;1,76178E+18;gini nihh skrng projek kurikulum merdeka, rela nyari daun malem2 buat ecoprint besok pagi🫠 https://t.co/r3vJmqmfsH;0;0;0;0;in;1,54268E+18;1,76178E+18;alsoknowaswafi;https://twitter.com/alsoknowaswafi/status/1761776679490662680
Sun Feb 25 14:46:20 +0000 2024;1,76176E+18;gaisss, ini kurikulum merdeka bisa linjur gitu ga yaa nanti 😞😞;0;2;0;0;in;1,64362E+18;1,76176E+18;ertdaly;https://twitter.com/ertdaly/status/1761764569507364913
Sun Feb 25 14:34:29 +0000 2024;1,76176E+18;Gamau komen terlalu banyak ttg kurikulum merdeka (takut di-drag sama orang dan dihubung-hubungin sama hal lain), intinya pendidikan harusnya affordable dan tidak menyulitkan orang-orang dari middle to lower income 🙏🏽;0;0;0;5;in;1,30042E+18;1,76176E+18;northernattitud;https://twitter.com/northernattitud/status/1761761590595244490
Sun Feb 25 14:33:34 +0000 2024;1,76176E+18;Soal #KurikulumMerdeka, murid jd kelinci percobaan, dimana guru-guru dipaksa mal praktek.  Regulasinya gak ada, naskah akademiknya pun tak ada. Hanya di indonesia, hal beginian terjadi.  @KPK_RI  jgn biarkan ini terjadi. @jokowi  harus ambil tindakan, kasihan sekolah2.;0;0;0;0;in;1124329628;1,76176E+18;Barunk15;https://twitter.com/Barunk15/status/1761761358138442000
Sun Feb 25 14:28:25 +0000 2024;1,76176E+18;Just now my sister (who is in high school) complained to me about how kurikulum merdeka pushed her to do so many projects and making her spend a lot of money on the materials. Guess I have to work harder and give more money to her 🥲 god please give us first-born kids strength 😭;0;3;0;17;en;1,30042E+18;1,76176E+18;northernattitud;https://twitter.com/northernattitud/status/1761760064308904058
Sun Feb 25 14:24:27 +0000 2024;1,76176E+18;@Itjen_Kemdikbud @nadiemmakarim   Dunia pendidikan itu seharusnya dibikin happy, dibikin senang, bukan dibikin susah om.  Ini kurikulum merdeka menjadi kurikulum paling ribet yg pernah ada. Terlalu administratif dan tak terfokus pada anak didik.;0;0;0;0;in;1124329628;1,76176E+18;Barunk15;https://twitter.com/Barunk15/status/1761759063250206947
Sun Feb 25 14:09:34 +0000 2024;1,76176E+18;KURIKULUM MERDEKA BUKANNYA MAKIN PINTER MALAH MAKIN GOBLOG MAKIN CAPE MAKIN STRES;0;0;0;0;in;1,60226E+18;1,76176E+18;cifei__;https://twitter.com/cifei__/status/1761755317652885673
Sun Feb 25 14:08:15 +0000 2024;1,76175E+18;Kunci Jawaban Bahasa Indonesia Kelas 6 Halaman 200 201 Kurikulum Merdeka Bab 8: Memahami Bacaan: Berikut ini kunci jawaban Bahasa Indonesia Kelas 6 Halaman 200 201 Kurikulum Merdeka Bab 8: Memahami Bacaan. https://t.co/kQgmAegVjJ;0;0;0;0;in;1434466604;1,76175E+18;ArdanNews;https://twitter.com/ArdanNews/status/1761754988404264963
Sun Feb 25 14:08:10 +0000 2024;1,76175E+18;Kunci Jawaban Bahasa Inggris Tingkat Lanjut Kelas 11 Halaman 83 Kurikulum Merdeka, Activity 1: Berikut kunci jawaban Bahasa Inggris Tingkat Lanjut kelas 11 halaman 83 Kurikulum Merdeka, Activity 1. https://t.co/tGQbUEIJsD;0;0;0;0;in;1434466604;1,76175E+18;ArdanNews;https://twitter.com/ArdanNews/status/1761754968019923081
